Orthogroup_ID	Gene_Group	Group_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value
N0.HOG0000014	None	None	None	1	29	60	13	34	1	10	4	1	3	121	6	38	56	120	rna-NM_136949.2	FBgn0033750	This gene is referred to in FlyBase by the symbol Dmel\CG13151 (FBgn0033750). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:12515375..12517284. Its molecular function is unknown. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of low expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6u1(Cyp6u1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299221.1	FBgn0033121	The gene Cytochrome P450 6u1 is referred to in FlyBase by the symbol Dmel\Cyp6u1 (CG3567, FBgn0033121). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:6971996..6975026. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-06 and 18-24 hour embryonic stages, during early larval stages, during late pupal stages, in adult female stages.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 317a1(Cyp317a1)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299506.1	FBgn0033982	The gene Cytochrome P450 317a1 is referred to in FlyBase by the symbol Dmel\Cyp317a1 (CG17453, FBgn0033982). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:14898312..14903095. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, during late pupal stages, in stages of adults of both sexes.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a22(Cyp6a22)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299502.1	FBgn0013773	The gene Cytochrome P450 6a22 is referred to in FlyBase by the symbol Dmel\Cyp6a22 (CG10240, FBgn0013773). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (1 unique). Gene sequence location is 2R:14871366..14873705. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: partially lethal; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a23(Cyp6a23)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137156.3	FBgn0033978	The gene Cytochrome P450 6a23 is referred to in FlyBase by the symbol Dmel\Cyp6a23 (CG10242, FBgn0033978). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:14875829..14877654. Its molecular function is described by: iron ion binding; heme binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 12-24 hour embryonic stages, during late larval stages.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a17(Cyp6a17)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001299504.1	FBgn0015714	The gene Cytochrome P450 6a17 is referred to in FlyBase by the symbol Dmel\Cyp6a17 (CG10241, FBgn0015714). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:14873953..14875739. Its molecular function is described by: iron ion binding; heme binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. It is involved in the biological process described with: thermosensory behavior. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal temperature response; viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, during early pupal stages, in adult male stages.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a19(Cyp6a19)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137157.4	FBgn0033979	The gene Cytochrome P450 6a19 is referred to in FlyBase by the symbol Dmel\Cyp6a19 (CG10243, FBgn0033979). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:14877786..14879752. Its molecular function is described by: heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 7 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 00-06 hour embryonic stages, in adult female stages.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a8(Cyp6a8)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_079025.5	FBgn0013772	The gene Cytochrome P450 6a8 is referred to in FlyBase by the symbol Dmel\Cyp6a8 (CG10248, FBgn0013772). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:14887171..14889010. Its molecular function is described by 7 unique terms, many of which group under: catalytic activity; oxidoreductase activity; binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity. It is involved in the biological process described with: response to caffeine; insecticide metabolic process; lauric acid metabolic process. 11 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a18(Cyp6a18)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_001300633.1	FBgn0039519	The gene Cytochrome P450 6a18 is referred to in FlyBase by the symbol Dmel\Cyp6a18 (CG13977, FBgn0039519). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:27478675..27482904. Its molecular function is described by: iron ion binding; heme binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed at stages throughout the larval period, during late pupal stages, in adult male stages.	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a21(Cyp6a21)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_137159.4	FBgn0288232	The gene Cytochrome P450 6a21 is referred to in FlyBase by the symbol Dmel\Cyp6a21 (CG10247, FBgn0288232). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:14885264..14886947. Its molecular function is described by: iron ion binding; heme binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable.	0.0
N0.HOG0000027	None	None	None	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_078904.2	FBgn0000473	None	0.0
N0.HOG0000027	Gene Group 1	detoxification	Cytochrome P450 6a13(Cyp6a13)	16	73	28	10	29	35	2	52	8	18	9	14	10	12	71	rna-NM_136546.3	FBgn0033304	The gene Cytochrome P450 6a13 is referred to in FlyBase by the symbol Dmel\Cyp6a13 (CG2397, FBgn0033304). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:8570499..8572147. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; monooxygenase activity; iron ion binding; heme binding. It is involved in the biological process described with: defense response to bacterium. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: fertile; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed in adult male stages.	0.0
N0.HOG0000030	Gene Group 20	transmembrane transport (toxin resistance)	uncharacterized protein(CG11898)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_143422.3	FBgn0039645	This gene is referred to in FlyBase by the symbol Dmel\CG11898 (FBgn0039645). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29165643..29171508. Its molecular function is described by: ATPase-coupled transmembrane transporter activity; ABC-type transporter activity; ATP binding; ATP hydrolysis activity. It is involved in the biological process described with: transmembrane transport. 11 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, in stages of adults of both sexes.	0.0
N0.HOG0000030	Gene Group 20	transmembrane transport (toxin resistance)	uncharacterized protein(CG10505)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_137727.3	FBgn0034612	This gene is referred to in FlyBase by the symbol Dmel\CG10505 (FBgn0034612). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:21285248..21290343. Its molecular function is described by: ABC-type transporter activity; ATPase-coupled transmembrane transporter activity; ATP binding; ATP hydrolysis activity. It is involved in the biological process described with: response to zinc ion; response to copper ion; transmembrane transport. 10 alleles are reported. The phenotype of these alleles manifest in: adult midgut epithelium. The phenotypic classes of alleles include: increased occurrence of cell division; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed during late larval stages.	0.0
N0.HOG0000030	Gene Group 20	transmembrane transport (toxin resistance)	red dog mine(rdog)	3	11	22	11	17	26	33	23	12	16	10	10	7	10	30	rna-NM_143421.3	FBgn0039644	The gene red dog mine is referred to in FlyBase by the symbol Dmel\rdog (CG11897, FBgn0039644). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:29158122..29164966. Its molecular function is described by: ATP hydrolysis activity; ATP binding; ATPase-coupled transmembrane transporter activity; ABC-type transporter activity. It is involved in the biological process described with: transmembrane transport. 17 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages, in adult female stages.	0.0
N0.HOG0000033	None	None	None	1	39	64	33	8	1	14	1	1	2	53	14	18	53	63	rna-NM_139889.2	FBgn0035807	This gene is referred to in FlyBase by the symbol Dmel\CG7492 (FBgn0035807). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:7651866..7654752. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
N0.HOG0000035	None	None	None	1	11	23	19	5	1	15	10	3	4	135	1	32	17	134	rna-NM_001275459.1	FBgn0037633	This gene is referred to in FlyBase by the symbol Dmel\CG9839 (FBgn0037633). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:8803471..8805802. Its molecular function is unknown. The biological processes in which it is involved are not known. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: short lived; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of low expression.  Peak expression observed within 00-12 hour embryonic stages.	0.0
N0.HOG0000037	Gene Group 30	pheromone sensing	Odorant receptor 43a(Or43a)	3	1	1	3	48	22	39	21	1	5	10	6	6	8	47	rna-NM_078923.3	FBgn0026389	The gene Odorant receptor 43a is referred to in FlyBase by the symbol Dmel\Or43a (CG1854, FBgn0026389). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2R:7232840..7234913. Its molecular function is described by: olfactory receptor activity; odorant binding; ionotropic olfactory receptor activity. It is involved in the biological process described with: sensory perception of smell; detection of chemical stimulus involved in sensory perception of smell. 18 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; abnormal neurophysiology; partially lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very low expression to a trough of no expression detected.  Peak expression observed in adult male stages.	0.0
